659.279233849428,1721.4285409036713
660.5099978205221,1721.8387955607027
661.7407617916163,1727.9926154161733
660.7151251490378,1722.4541775462499
660.5099978205221,1723.8900688458596
664.2022897338045,1732.0951619864873
666.8689450045085,1738.6592364989892
660.9202524775535,1726.7618514450792
669.3304729466968,1744.1976743689129
662.561271105679,1724.5054508314067
658.0484698783339,1714.2490844056222
665.8433083619301,1734.1464352716441
658.0497516140435,1717.3293393119616
667.8958825608871,1741.534411222952
367.5881727001167,659.0741065209123,945.4318571288156
367.5881727001167,660.5099978205221,943.5857111721745
370.66508262785203,661.7407617916163,948.9190217135824
369.22919132824217,660.7151251490378,944.4062204862372
366.9727907145696,660.5099978205221,945.2267298003
371.2804646133991,664.2022897338045,949.7395310276452
371.4855919419148,666.6638176759928,953.0215682838962
367.99842735714805,660.9202524775535,947.0728757569412
372.5112285844932,669.5356002752125,956.0984782116316
369.8445733137892,662.561271105679,946.6626210999098
366.5625360575382,657.8433425498182,941.944692544049
371.4855919419148,665.6381810334144,950.5600403417079
367.1786332260405,657.8446238859843,945.0234431689211
371.28118778722535,667.8958825608871,957.7413623085939
543.3115277262232,659.2395836848423,945.4731270397563
540.9207652958748,660.5099978205221,946.4574937713941
543.9976752236101,661.9458891201319,947.6882577424883
542.766911252516,660.7151251490378,946.2523664428784
542.9720385810317,660.5099978205221,947.893385071004
545.6386938517356,664.2022897338045,951.790804312802
548.3053491224397,666.8689450045085,957.9446241682728
543.3822932380631,660.9202524775535,948.3036397280354
551.5873863786907,669.3304729466968,960.6112794389767
544.6130572091572,662.3561437771633,947.0728757569412
542.766911252516,658.0484698783339,944.6113478147529
547.2797124798611,665.6381810334144,955.4830962260845
540.3064357080395,658.0497516140435,943.3824213444472
550.152566654883,667.6907548328279,957.7413623085939
